#연출,문자,,사운드,이미지,,,,,,,,,대기,,연출 관련,,
#,화자,대화 내용,화일명,위치,머리말,몸체,눈1,눈2,입1,입2,머리,연출,방법,시간,시간,감마,컬러
#인트로,,,,,,,,,,,,,,,,,
$setIntroPanelFilePath,,Newbie/NewbieQuestHeadline.smf,,,,,,,,,,,,,,,
$setTutorialHelpFilePath,,Newbie/NewbieQuestSubTitle.smf,,,,,,,,,,,,,,,
$playBgm,,BGM-Game-Quest03-Forest,,,,,,,,,,,,,,,
$showIntro,카실,0,,1,CasilBody00,_1,_FlickerEye00,_FlickerEye01,_TalkMouth00,_TalkMouth01(smile),_Hair,,wait,,,,
$speech,카실,Newbie/00.png,,1,CasilBody00,_1,_FlickerEye00,_FlickerEye01,_TalkMouth01(smile),_TalkMouth01(smile),_Hair,,wait,,,,
$speech,카실,Newbie/01.png,,1,CasilBody04,,_normalface,,_normalmouse1,_normalmouse1,,,wait,,,,
#이동교습,,,,,,,,,,,,,,,,,
$showIntro,카실,1,,1,CasilBody00,_2,_FlickerEye00,_FlickerEye01,_TalkMouth00,_TalkMouth01(smile),_Hair,,wait,,,,
$speech,카실,Newbie/02.png,,1,CasilBody00,_2,_FlickerEye00,_FlickerEye01,_TalkMouth01(smile),_TalkMouth01(smile),_Hair,,wait,,,,
$showControl,카실,2000,,1,CasilBody04,,_normalface,,_Smilemouse,_normalmouse1,,,wait,,,,
$speech,카실,Newbie/03.png,,1,CasilBody04,,_normalface,,_normalmouse1,_normalmouse1,,,wait,,,,
$tutorial-moveLeft,,0,,,,,,,,,,,,,,,
$tutorial-moveRight,,2,,,,,,,,,,,,,,,
$tutorial-jump,,4,,,,,,,,,,,
$tutorial-dblJump,,6,,,,,,,,,,,
$tutorial-crouch,,8,,,,,,,,,,,
$completeSector,,Phase1,,,,,,,,,,,
$gomark,,,,,,,,,,,,,
$speech,카실,Newbie/04.png,,1,CasilBody00,_2,_FlickerEye00,_FlickerEye01,_TalkMouth00,_TalkMouth01(smile),_Hair,,wait
$tutorial-moveToFire,,,,,,,,,,,,,
#사격교습,,,,,,,,,,,,,
$speech,타이,Newbie/05.png,,1,TaiBody00,_1,_FlickerEye00,_FlickerEye01,_SmileMouth,_TalkMouth00,_Hair,,wait
$showIntro,타이,2,,1,TaiBody00,_2,_FlickerEye00,_FlickerEye01,_TalkMouth00,_TalkMouth00,_Hair,,wait
$speech,타이,Newbie/06.png,,1,TaiBody00,_2,_FlickerEye00,_FlickerEye01,_SmileMouth,_TalkMouth00,_Hair,,wait
$tutorial-fire1,,1,,,,,,,,,,,
$speech,타이,Newbie/07.png,,1,TaiBody00,_2,_FlickerEye00,_FlickerEye01,_SmileMouth,_TalkMouth00,_Hair,,wait
$tutorial-fire2,,,,,,,,,,,,,
$completeSector,,Phase2,,,,,,,,,,,
$gomark,,,,,,,,,,,,,
$speech,타이,Newbie/08.png,,1,TaiBody00,_2,_FlickerEye00,_FlickerEye01,_SmileMouth,_TalkMouth00,_Hair,,wait
$speech,타이,Newbie/09.png,,1,TaiBody04,,_Smileface,,_Smilemouse,_normalmouse_1,,,wait
$tutorial-moveToStanding,,,,,,,,,,,,,
#지형교습,,,,,,,,,,,,,
$tutorial-autoMoveToStanding,,,,,,,,,,,,,
$speech,엘리어스,Newbie/10.png,,1,AliasBody00,,_FlickerEye00,_FlickerEye01,_TalkMouth01,_TalkMouth01,_Hair,,wait
$showIntro,엘리어스,3,,1,AliasBody00,,_FlickerEye00,_FlickerEye01,_TalkMouth00,_TalkMouth01,_Hair,,wait
$speech,엘리어스,Newbie/11.png,,1,AliasBody00,,_FlickerEye00,_FlickerEye01,_TalkMouth01,_TalkMouth01,_Hair,,wait
$tutorial-standing,,,,,,,,,,,,,
$speech,엘리어스,Newbie/12.png,,1,AliasBody00,,_FlickerEye00,_FlickerEye01,_TalkMouth01,_TalkMouth01,_Hair,,wait
$tutorial-breakable,,3,,,,,,,,,,,
$speech,엘리어스,Newbie/13.png,,1,AliasBody00,,_FlickerEye00,_FlickerEye01,_TalkMouth01,_TalkMouth01,_Hair,,wait
$speech,엘리어스,Newbie/14.png,,1,AliasBody00,,_SmileEye,_SmileEye,_SmileMouth,_TalkMouth01,_Hair,,wait
$tutorial-exit,,,,,,,,,,,,,
